game,copies_sold,as_of,rel_date,genre,developer,publisher,bundle
Mario Kart 7 ,18970000.0,2022-09-30,2011-12-01,Racing,Nintendo EADRetro Studios,Nintendo,1
Pokémon X and Y,16649999.999999998,2022-09-30,2013-10-12,Role-playing,Game Freak,The Pokémon CompanyNintendo,0
Pokémon Sun and Moon,16290000.0,2022-09-30,2016-11-18,Role-playing,Game Freak,The Pokémon CompanyNintendo,0
Pokémon Omega Ruby and Alpha Sapphire,14530000.0,2022-09-30,2014-11-21,Role-playing,Game Freak,The Pokémon CompanyNintendo,0
New Super Mario Bros. 2 ,13410000.0,2022-09-30,2012-07-28,Platform,Nintendo EAD,Nintendo,1
Animal Crossing: New Leaf ,13020000.0,2022-09-30,2012-11-08,Life simulation,Nintendo EAD,Nintendo,1
Super Mario 3D Land ,12860000.0,2022-09-30,2011-11-03,Platform,Nintendo EAD,Nintendo,1
Super Smash Bros. for Nintendo 3DS,9640000.0,2022-09-30,2014-09-13,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,0
Pokémon Ultra Sun and Ultra Moon,9120000.0,2022-09-30,2017-11-17,Role-playing,Game Freak,The Pokémon CompanyNintendo,0
Yo-kai Watch 2,6920000.0,2019-12-31,2014-12-13,Role-playing,Level-5,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Level-5WW: Nintendo",0
Tomodachi Life,6710000.0,2022-09-30,2013-04-18,Life simulation,Nintendo SPD,Nintendo,0
Luigi's Mansion: Dark Moon,6470000.0,2021-12-31,2013-03-20,Action-adventure,Next Level Games,Nintendo,0
The Legend of Zelda: Ocarina of Time 3D,6400000.0,2021-12-31,2011-06-16,Action-adventure,Grezzo,Nintendo,0
Nintendogs + Cats,4680000.0,2021-12-31,2011-02-26,Pet-raising simulation,Nintendo EAD,Nintendo,0
Monster Hunter Generations,4300000.0,,2015-11-28,Action role-playing,Capcom,Capcom,0
The Legend of Zelda: A Link Between Worlds,4240000.0,2021-12-31,2013-11-22,Action-adventure,Nintendo EAD,Nintendo,0
Monster Hunter 4 Ultimate,4200000.0,,2015-02-13,Action role-playing,Capcom,Capcom,0
Monster Hunter 4,4099999.9999999995,,2013-09-14,Action role-playing,Capcom,Capcom,0
Super Mario Maker for Nintendo 3DS,3790000.0,2021-12-31,2016-12-01,Level editorplatform,Nintendo EAD,Nintendo,0
Animal Crossing: Happy Home Designer,3510000.0,2020-12-31,2015-07-02,Life simulation,Nintendo EAD,Nintendo,0
The Legend of Zelda: Majora's Mask 3D,3430000.0,2021-12-31,2015-02-13,Action-adventure,Grezzo,Nintendo,0
Fire Emblem Fates: Birthright and Conquest,3050000.0,2021-12-31,2015-06-25,Tactical role-playing,Intelligent SystemsNintendo SPD,Nintendo,0
Mario Party: Island Tour,2950000.0,2021-12-31,2013-11-22,Party,NDcube,Nintendo,0
Donkey Kong Country Returns 3D,2930000.0,2021-12-31,2013-05-24,Platform,Retro StudiosMonster Games,Nintendo,0
Yo-kai Watch,2780000.0,,2013-07-11,Role-playing,Level-5,JP: Level-5WW: Nintendo,0
Mario & Luigi: Dream Team,2680000.0,2021-12-31,2013-07-12,Role-playing,AlphaDreamGood-Feel,Nintendo,0
Kirby: Triple Deluxe,2650000.0,2021-12-31,2014-01-11,Actionplatform,HAL Laboratory,Nintendo,0
Monster Hunter 3 Ultimate,2600000.0,,2011-12-10,Action role-playing,Capcom,Capcom,0
Paper Mario: Sticker Star,2480000.0,2020-12-31,2012-11-11,Role-playing,Intelligent Systems,Nintendo,0
Fire Emblem Awakening,2350000.0,2021-12-31,2012-04-19,Tactical role-playing,Intelligent SystemsNintendo SPD,Nintendo,0
Yo-kai Watch Blasters: Red Cat Corps and White Dog Squad,2200000.0,,2015-07-11,Role-playing,Level-5,JP: Level-5WW: Nintendo,0
Yoshi's New Island,2049999.9999999998,2021-12-31,2014-03-14,Platform,Arzest,Nintendo,0
Lego City Undercover: The Chase Begins,2040000.0,2020-12-31,2013-04-21,Action-adventure,TT Fusion,Nintendo,0
Monster Hunter XX,1800000.0,,2017-03-18,Action role-playing,Capcom,Capcom,0
Dragon Quest XI: Echoes of an Elusive Age,1740000.0,,2017-07-29,Role-playing,Square Enix,Square Enix,0
Pokémon Super Mystery Dungeon,1660000.0,2020-12-31,2015-09-17,Roguelike,Spike Chunsoft,The Pokémon CompanyNintendo,0
Kirby: Planet Robobot,1610000.0,2021-12-31,2016-04-28,Actionplatform,HAL Laboratory,Nintendo,0
Mario Tennis Open,1580000.0,2021-12-31,2012-05-20,Sports,Camelot Software Planning,Nintendo,0
Puzzle & Dragons Z: Pazudora Z,1500000.0,,2013-12-12,Puzzle,GungHo Online Entertainment,JP: GungHo Online EntertainmentWW: Nintendo,0
Pokémon Red / Green / Blue / Yellow[d],1500000.0,2016-04-28,2016-02-27,Role-playing,Game Freak,Nintendo,0
Style Savvy: Trendsetters,1440000.0,2020-12-31,2012-09-27,Simulation,Syn Sophia,Nintendo,0
Pokémon Rumble Blast,1400000.0,2019-12-31,2011-08-11,Action role-playingbeat 'em up,Ambrella,The Pokémon CompanyNintendo,0
Pokémon Mystery Dungeon: Gates to Infinity,1380000.0,2020-12-31,2012-11-23,Roguelike,Spike Chunsoft,The Pokémon CompanyNintendo,0
Kid Icarus: Uprising,1360000.0,2020-12-31,2012-03-22,Third-person shootershoot 'em up,Project SoraSora Ltd.,Nintendo,0
The Legend of Zelda: Tri Force Heroes,1360000.0,2020-12-31,2015-10-22,Action-adventure,Nintendo EPDGrezzo,Nintendo,0
Super Street Fighter IV: 3D Edition,1300000.0,,2011-02-26,Fighting,DimpsCapcom,Capcom,0
Yo-kai Watch 3: Sushi and Tempura,1300000.0,,2016-07-16,Role-playing,Level-5,JP: Level-5WW: Nintendo,0
Dragon Quest VII: Fragments of the Forgotten Past,1230000.0,,2013-02-07,Role-playing,HeartbeatArtePiazza,JP: Square EnixWW: Nintendo,0
Miitopia,1220000.0,2021-12-31,2016-12-08,Role-playing,Nintendo EPD,Nintendo,0
Mario & Luigi: Paper Jam,1080000.0,2021-12-31,2015-12-03,Role-playing,AlphaDream,Nintendo,0
Star Fox 64 3D,1060000.0,2021-12-31,2011-07-14,Rail shooter,Nintendo EADQ-Games,Nintendo,0
Professor Layton and the Miracle Mask,1020000.0,2019-12-31,2011-02-26,Puzzleadventure,Level-5,JP: Level-5WW: Nintendo,0
Rhythm Heaven Megamix,1020000.0,2021-12-31,2015-06-11,Rhythm,Nintendo SPD,Nintendo,0
Bravely Default,1000000.0,,2012-10-11,Role-playing,Silicon Studio,Nintendo,0
Fantasy Life,1000000.0,,2012-12-27,Role-playing,Level-5,JP: Level-5WW: Nintendo,0
Monster Strike,1000000.0,,2015-12-17,Role-playing,Mixi,Xflag,0
Kingdom Hearts 3D: Dream Drop Distance,1000000.0,,2012-03-29,Action role-playing,Square Enix,Square Enix,0
Style Savvy: Fashion Forward,1000000.0,2021-12-31,2015-04-16,Simulation,Syn Sophia,Nintendo,0
